,Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),time_idx,month
44435,2018-11-19 13:20:00,2318.29907226562,9.56771564483642,2492.65877315025,44435,11
44436,2018-11-19 13:30:00,720.585571289062,6.20812702178955,696.481104513837,44436,11
44437,2018-11-19 13:40:00,1643.79602050781,8.01017475128173,1535.8287472392499,44437,11
44438,2018-11-19 13:50:00,2812.31201171875,10.1723899841308,2894.7144288888,44438,11
44439,2018-11-19 14:00:00,2959.2470703125,10.5205602645874,3075.5347066285804,44439,11
44440,2018-11-19 14:10:00,2583.11010742187,10.2256298065185,2924.5987744365398,44440,11
44441,2018-11-19 14:20:00,1883.10705566406,8.969154357910151,2124.12523610229,44441,11
44442,2018-11-19 14:30:00,1299.86694335937,7.5441532135009695,1280.76723472791,44442,11
44443,2018-11-19 14:40:00,416.563812255859,5.364078998565669,430.73626150002406,44443,11
44444,2018-11-19 14:50:00,1224.64001464843,7.20814418792724,1112.50868290448,44444,11
44445,2018-11-19 15:00:00,2221.98510742187,9.20702743530273,2278.2161918542497,44445,11
44446,2018-11-19 15:10:00,2175.77392578125,9.08219814300537,2197.11011778091,44446,11
44447,2018-11-19 15:20:00,1509.8840332031198,7.7871298789978,1410.5536712072699,44447,11
44448,2018-11-19 15:30:00,1977.6140136718695,8.66412925720214,1930.12832324487,44448,11
44449,2018-11-19 15:40:00,1715.2590332031198,8.25588035583496,1679.75520756828,44449,11
44450,2018-11-19 15:50:00,1109.125,7.13786315917968,1079.27658665206,44450,11
44451,2018-11-19 16:00:00,470.969787597656,5.726211071014402,536.489228521875,44451,11
44452,2018-11-19 16:10:00,305.74639892578097,4.929813861846919,318.942547490425,44452,11
44453,2018-11-19 16:20:00,254.04119873046798,4.8939299583435,310.362888729373,44453,11
44454,2018-11-19 16:30:00,666.552307128906,5.70477294921875,529.881201436441,44454,11
44455,2018-11-19 16:40:00,1401.02502441406,7.84889984130859,1444.69168446818,44455,11
44456,2018-11-19 16:50:00,1972.46398925781,8.67199039459228,1935.06399670695,44456,11
44457,2018-11-19 17:00:00,2052.76098632812,8.94619846343994,2109.3666613021105,44457,11
44458,2018-11-19 17:10:00,1886.79699707031,8.51202964782714,1835.41700344745,44458,11
44459,2018-11-19 17:20:00,2622.5419921875,9.95425796508789,2763.3313419328,44459,11
44460,2018-11-19 17:30:00,2133.1220703125,8.86193084716796,2055.39235033535,44460,11
44461,2018-11-19 17:40:00,2030.31005859375,8.766237258911131,1994.52220878098,44461,11
44462,2018-11-19 17:50:00,2493.13696289062,9.7700662612915,2640.64529425221,44462,11
44463,2018-11-19 18:00:00,1704.68896484375,8.385360717773429,1757.78924705301,44463,11
44464,2018-11-19 18:10:00,2879.50903320312,10.8303699493408,3209.2043615862103,44464,11
44465,2018-11-19 18:20:00,3552.03002929687,15.2275104522705,3600.0,44465,11
44466,2018-11-19 18:30:00,3600.51708984375,16.9433803558349,3600.0,44466,11
44467,2018-11-19 18:40:00,3593.72412109375,14.784420013427699,3600.0,44467,11
44468,2018-11-19 18:50:00,3497.43090820312,13.1129999160766,3600.0,44468,11
44469,2018-11-19 19:00:00,3279.72509765625,11.6714897155761,3461.35754389468,44469,11
44470,2018-11-19 19:10:00,3013.69799804687,10.8455295562744,3215.13260740549,44470,11
44471,2018-11-19 19:20:00,3079.6640625,11.367870330810499,3387.43119116427,44471,11
44472,2018-11-19 19:30:00,1654.2669677734302,8.31207180023193,1713.44788009554,44472,11
44473,2018-11-19 19:40:00,2253.2939453125,9.419967651367179,2417.46560062317,44473,11
44474,2018-11-19 19:50:00,1726.0539550781198,8.29615879058837,1703.87893742241,44474,11
44475,2018-11-19 20:00:00,2282.06591796875,9.3008337020874,2339.4466223350896,44475,11
44476,2018-11-19 20:10:00,987.1934204101559,6.926360130310051,983.180329260069,44476,11
44477,2018-11-19 20:20:00,784.09228515625,6.443552017211911,784.086873779032,44477,11
44478,2018-11-19 20:30:00,195.84910583496003,4.49831819534301,221.643803628881,44478,11
44479,2018-11-19 20:40:00,336.38800048828097,5.179747104644769,381.41623930824403,44479,11
44480,2018-11-19 20:50:00,279.904205322265,4.8259801864624015,294.37137639470296,44480,11
44481,2018-11-19 21:00:00,149.832199096679,4.12859296798706,147.250478867358,44481,11
44482,2018-11-19 21:10:00,429.679504394531,5.523652076721191,475.82964547217597,44482,11
44483,2018-11-19 21:20:00,874.2586059570309,6.63931417465209,861.572241989814,44483,11
44484,2018-11-19 21:30:00,1039.3349609375,7.049460887908928,1038.41051991998,44484,11
44485,2018-11-19 21:40:00,805.94482421875,6.53544807434082,819.926725131093,44485,11
44486,2018-11-19 21:50:00,670.761901855468,6.444835186004631,784.5808898026489,44486,11
44487,2018-11-19 22:00:00,1004.6849975585899,7.05689477920532,1041.80766313985,44487,11
44488,2018-11-19 22:10:00,628.064270019531,6.08409404754638,652.724867490837,44488,11
44489,2018-11-19 22:20:00,480.951385498046,5.638672828674308,509.79044078756897,44489,11
44490,2018-11-19 22:30:00,412.245300292968,5.377800941467282,434.524351153393,44490,11
44491,2018-11-19 22:40:00,510.497009277343,5.87198781967163,582.648771523153,44491,11
